"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005975","GO:0005975","carbohydrate metabolic process","33/354","277/6476",0.11913357400722,2.17940402618858,4.8241025026681,1.5808062752922e-05,0.00044375490442131,0.000389060592064396,"YDL022W/YOR120W/YOR178C/YGL028C/YGR032W/YGR192C/YLL026W/YLR213C/YLR377C/YLR300W/YLR307W/YLR258W/YLR273C/YPR184W/YPR160W/YMR105C/YMR280C/YBR218C/YBR145W/YBR196C/YBR018C/YNR067C/YJL052W/YKR058W/YEL040W/YHR163W/YHR174W/YHR183W/YCR005C/YFL053W/YFR053C/YFR015C/YAL038W",33
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","28/354","217/6476",0.129032258064516,2.36048842719154,4.90170417917905,1.63914099666579e-05,0.000449429589550922,0.000394035852809254,"YOR178C/YGR177C/YGR192C/YLR258W/YLR273C/YPL061W/YPR184W/YPL134C/YPR160W/YMR105C/YMR056C/YMR081C/YBR145W/YBR196C/YJL052W/YJL200C/YJR104C/YKR058W/YKL109W/YHR163W/YHR174W/YHR183W/YIL094C/YCR005C/YFL053W/YFR053C/YFR015C/YAL038W",28
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","11/354","46/6476",0.239130434782609,4.37460083517563,5.52294468786603,2.63514298196292e-05,0.000706098539939608,0.000619069475666886,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL220W/YHR216W/YAR015W",11
"GO:0044282","GO:0044282","small molecule catabolic process","21/354","145/6476",0.144827586206897,2.64944476914085,4.83014843350963,3.47014171108114e-05,0.000909177128303259,0.000797117932229633,"YDR111C/YDR019C/YOR120W/YGR087C/YLR058C/YLR438W/YPL061W/YPL095C/YMR105C/YMR189W/YMR250W/YMR042W/YBR018C/YJR078W/YJR148W/YER073W/YHR183W/YCL064C/YFR055W/YFL053W/YAL044C",21
"GO:0071554","GO:0071554","cell wall organization or biogenesis","32/354","279/6476",0.114695340501792,2.09821193528137,4.50891831539018,4.58714989176713e-05,0.00117570646138988,0.00103079661183417,"YDR077W/YDR055W/YOL155C/YOL109W/YGL028C/YGR032W/YGR225W/YLR213C/YLR300W/YLR194C/YLR307W/YLR413W/YLR037C/YPR149W/YBR067C/YBL101C/YNL194C/YNR067C/YNL160W/YJL158C/YJR104C/YKL163W/YER011W/YEL040W/YER150W/YER124C/YHR143W/YIR039C/YIL119C/YIL011W/YCL048W/YCL058C",32
"GO:0006797","GO:0006797","polyphosphate metabolic process","6/354","14/6476",0.428571428571429,7.84019370460048,6.1606111318045,5.28175539231022e-05,0.00132493395904973,0.00116163130912623,"YDR089W/YPL019C/YML123C/YNL217W/YJL012C/YER072W",6
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","13/354","70/6476",0.185714285714286,3.39741727199354,4.84924400369111,8.64716778422627e-05,0.00212396058700058,0.00186217516756803,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL220W/YJR078W/YKR080W/YHR216W/YAR015W",13
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","12/354","61/6476",0.19672131147541,3.59877743817727,4.90354911451177,9.02965739271291e-05,0.00217264613592011,0.00190486005577746,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL220W/YHR128W/YHR216W/YAR015W",12
"GO:0009113","GO:0009113","purine nucleobase biosynthetic process","5/354","10/6476",0.5,9.14689265536723,6.19939057412264,9.51979393143634e-05,0.00224476740903269,0.001968092134878,"YGL234W/YMR300C/YML035C/YNL141W/YKR080W",5
"GO:0046434","GO:0046434","organophosphate catabolic process","12/354","62/6476",0.193548387096774,3.54073264078732,4.83353857276799,0.000106558621053884,0.0024633845925986,0.00215976400154621,"YDL022W/YDR481C/YGR192C/YLR151C/YMR008C/YMR006C/YBR196C/YJL052W/YER037W/YHR174W/YFR053C/YAL038W",12
