"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YML031W",157.388379831604,-0.0505513732452425,0.117995605818456,0.657220224191573,0.768630151037216
"YML118W",25.7467182646648,0.113785797529004,0.244085609590325,0.563671550487708,0.696442423829777
"YML120C",194.333856711904,-0.256707357935245,0.109264334742245,0.0143180015988929,0.041271752764775
"YMR078C",41.1672679249362,0.302629769945891,0.220969951390604,0.108387228685437,0.208357880582581
"YMR042W",41.204408037541,1.27456241686259,0.275712056874094,5.09692038342595e-07,3.93375541443133e-06
"YMR251W",28.4786260776689,-0.350448820016935,0.384231410105398,0.137447835773578,0.250408627877871
"YMR223W",32.6586730458771,-0.419442800939529,0.254948536431986,0.0418833562116961,0.098514119447201
"YMR256C",47.0558557517803,0.40644704111225,0.220570402131609,0.0325535807625734,0.0805156601953159
"YMR214W",120.26677750144,-0.0432167880306828,0.134572958465254,0.732442519602447,0.825338026054562
"YMR055C",22.7104813984292,0.161061393563907,0.258759703362699,0.429657720428785,0.576251564679676
"YML117W",301.252901566059,-0.0516674047953708,0.0886005702301713,0.549517828675251,0.684987933625496
"YMR271C",24.5333550059052,0.322782258442304,0.474667285976178,0.132649358373684,0.243695312176771
"YMR226C",309.432531517452,-0.123307314708016,0.0877657814011975,0.149274610027832,0.266802153368921
"YML110C",180.581839302696,-0.00375533242172347,0.111290096273548,0.971360884373519,0.983631354863879
"YML007W",230.669053996106,0.212208553416107,0.104892532396923,0.0361498996060792,0.0879004892199375
"YMR190C",64.9792781200331,0.114173579908683,0.174983668730336,0.470582695074538,0.616808319298706
"YMR225C",53.037368348375,-0.202144773244782,0.194072495388471,0.234599744043414,0.37354342248589
"YMR264W",144.179357682065,0.163390126390395,0.125741464102428,0.171525891903893,0.295378707776581
"YMR037C",110.500483139614,0.341184432382099,0.14448525215742,0.0115105886288087,0.0344929541446197
"YML024W",933.346089222309,-0.253630718545689,0.0507413610771684,4.58379975590285e-07,3.55212017911395e-06
"YML083C",14.4781440751149,0.558962899857468,0.405564151851737,0.0420425850560118,0.0988461464724712
"YMR030W",39.7374017906393,0.920203237249485,0.267596170788743,0.000101511689828564,0.00054662446363393
"YMR187C",19.2364903791319,-0.259434759626173,0.289047896336128,0.224038620136124,0.360822870404691
"YMR238W",329.652172982696,-0.131488929305212,0.0846554361966486,0.111688235690137,0.213540292761677
"YML061C",53.70869291056,0.185418782788101,0.190233975438733,0.272080501221247,0.417429170550041
"YMR130W",41.4141891150359,0.11123349205621,0.207468090492568,0.53525003766657,0.67179466760124
"YMR005W",72.5359853776678,-0.0527278812152604,0.169332274326329,0.73062117351819,0.824520498302199
"YMR054W",272.022027890981,-0.144000525392432,0.0924480363234655,0.108821153731878,0.208971755727309
"YMR209C",56.8056053878767,0.000889296133961468,0.18102096079819,0.99692100615559,0.997650416074123
"YML102W",76.0745827179648,-0.129907690670221,0.158740967056448,0.371554477246265,0.518168377520856
"YMR194W",182.684720742998,0.0358789411945815,0.111340563002415,0.738145523407893,0.829920706651168
"YMR252C",44.7106462096311,0.505705174093739,0.237405432467745,0.0122718865932322,0.0363702554450561
"YMR164C",54.8478409146535,0.184003598753892,0.189380275555371,0.273421543044415,0.418664780855302
"YMR074C",122.658944211305,0.0376762328518436,0.131313928333072,0.762175833664097,0.847188944733092
"YML065W",60.5886395937362,-0.192874899397035,0.179384723593521,0.227894890094627,0.365312904690214
"YMR243C",254.753487169451,0.0227308981579923,0.0955662730029742,0.807553893595731,0.879579405108947
"YMR145C",361.888432299071,-0.625158962180842,0.0809349331087175,3.39722227522174e-15,4.68166324124387e-14
"YML071C",86.6850148206764,0.483636169514793,0.166834416435197,0.00163880208372207,0.0065588048281225
"YMR015C",62.9738453496138,-1.24036020247775,0.193457809268963,1.44974722144131e-11,1.68398451135996e-10
"YML070W",260.322192860357,-0.020366980594685,0.095485882661172,0.825375158396598,0.891551516513115
"YMR125W",110.651175281082,0.0448040737005158,0.141404406702418,0.736262632257382,0.828857935620272
"YML072C",363.538645920845,-0.172038942706207,0.0804507281767862,0.026642264949726,0.0686898357869702
"YML105C",88.4257760799946,0.0588947330129543,0.154097846408215,0.680256430266066,0.785657681406574
"YMR119W-A",6.43961698299857,0.137456646018091,0.354113672860684,0.487381642614434,0.631513181949917
"YMR293C",23.6511560186228,-0.0205003794509026,0.250186323837114,0.915077070283653,0.948535175747351
"YML124C",347.280511968725,-0.0899586118474535,0.0819747147042918,0.256695900367102,0.399995235234524
"YMR090W",59.2072547037863,0.379726752695122,0.19706311924229,0.0294780054544776,0.0745259555644394
"YML029W",106.374533007794,-0.158097558513144,0.140521956130481,0.228452116465386,0.366045707022703
"YMR171C",132.822542613201,0.131039254718961,0.128228800099118,0.281633161630379,0.427688143519223
"YMR102C",129.054023977045,-0.381202955687805,0.132277756791188,0.00220629738039933,0.00854862108226966
"YMR188C",39.8445852742096,0.201791680146622,0.217982853490293,0.276516747108616,0.422340347133233
"YMR269W",30.0991919432802,-0.0465407925662054,0.231803338764201,0.804881449882781,0.878067081218085
"YMR128W",66.4869882305335,-0.675545394105646,0.1833570155163,5.54467430539622e-05,0.00031500428997739
"YMR039C",243.313643927475,0.100363574041758,0.0979518440848585,0.291299576654976,0.437578224220645
"YMR230W",592.58962659805,-0.393663058668171,0.0629702946895386,2.29077780375226e-10,2.47196161032123e-09
"YMR267W",57.0859648620814,-0.165096162722376,0.182865572924657,0.309121128738384,0.456228747468791
"YMR247C",59.8236147049905,-0.0292773833977807,0.174872410241997,0.851533566671171,0.906369677676649
"YMR152W",118.834765762379,-0.0813511789344347,0.134025972703784,0.517967875335844,0.657088669703692
"YMR251W-A",498.688451090464,-1.11707351454513,0.0688397036550802,3.96941928322693e-60,1.64520400746474e-58
"YMR146C",706.769848066438,-0.329508773248364,0.0590048315327628,1.57193678736942e-08,1.4238520138573e-07
"YMR228W",18.0943695055568,-0.0548656001510018,0.265393501758263,0.783124564429611,0.862240791304971
"YMR032W",70.627802395705,-0.279872492820702,0.171409043356884,0.0705066435309054,0.148877594271549
"YMR153W",36.3582286449093,0.11985942043739,0.219283721648027,0.518008304228116,0.657088669703692
"YMR056C",67.8338615194673,2.01243713735591,0.238662929403449,5.1601737402401e-18,8.06608872367246e-17
"YMR282C",40.1387804745282,0.339375397067451,0.229870230718188,0.0803013533540809,0.164846815578422
"YMR234W",48.7223018412851,0.112599295771874,0.19934845797744,0.518788110784811,0.657925302295712
"YMR062C",130.24718581149,-0.160797691682481,0.128958261540764,0.186561185250992,0.315218111336683
"YMR038C",213.461848938198,-0.53558864400791,0.110607144585614,4.98244230893488e-07,3.85557876551382e-06
"YMR049C",54.6885692646384,-0.505062031309796,0.198370605264643,0.00400899120293729,0.0142199265893361
"YMR147W",10.4978114274848,0.602784847613118,0.486902323133033,0.0428781572751777,0.100350599564667
"YML067C",120.827978797119,0.201709129234999,0.139634693066401,0.123988108321778,0.23096320756842
"YML107C",30.0836211058666,0.128506927367526,0.236609700623975,0.507508495674186,0.647674126389894
"YMR231W",60.8315588357412,0.035670242588703,0.174519434591405,0.822074049694926,0.889374555246379
"YMR081C",67.8507245015787,-1.40879408768015,0.189185779617278,8.65983001977364e-15,1.17272104054905e-13
"YML051W",105.831968999067,0.274328223991866,0.145037591547771,0.0426550831882632,0.10002827266309
"YMR314W",357.867582832136,-0.0830830517247938,0.0807017240450957,0.296781960059461,0.443147954008
"YMR113W",59.7933317671732,-0.241430614863381,0.184177616012864,0.139297388664759,0.253103956620689
"YMR263W",64.7506377984527,-0.0373876893237688,0.169899813086959,0.806998149750252,0.879149119331666
"YML034W",94.6532785612816,0.0741622207125306,0.151817088797513,0.595471649364466,0.719750038290152
"YMR131C",156.497720555207,-0.905819516349764,0.122340467252965,2.13575614704933e-14,2.84299802445423e-13
"YMR310C",27.2781616061314,0.0603741173221344,0.235773868427726,0.754309832806768,0.841643418441186
"YMR034C",21.3858139905868,0.551859856606778,0.335616652744039,0.0291241213525091,0.0738702215667952
"YML103C",102.542147902575,0.260411367260064,0.147370861028027,0.0575750146594528,0.126757708330731
"YMR306W",23.5157572482416,0.0648870933916649,0.248359186221412,0.74371120106505,0.834313038581988
"YMR169C",23.0585899379581,0.516674246656618,0.314554976199152,0.0328802575933418,0.0811402297217739
"YMR186W",1467.59565290531,-0.362263486090294,0.039299354130625,1.90412338087376e-20,3.24531433543935e-19
"YML059C",87.6489048659368,0.0383535220233511,0.150581559045137,0.784849141477584,0.863270939490121
"YML086C",196.542747925529,-0.29684582892785,0.110913362491225,0.00519653871545911,0.0176257057112689
"YMR013C",21.544601121069,-0.181459493238334,0.268873963156272,0.374125585070317,0.520559785330545
"YMR127C",16.4941611810159,0.175916906929282,0.293815126152126,0.406995771747449,0.555068906025844
"YMR212C",91.9646743443599,0.075641923059511,0.147473569908534,0.581746503379397,0.711384693783791
"YMR296C",433.346984550955,-0.547481191077264,0.0760625187644727,2.29620470602858e-13,2.92151998760055e-12
"YMR166C",41.4602022045467,-0.112606488213986,0.206437801030547,0.524866248897494,0.663940635310564
"YMR061W",78.8632314253193,0.50171982028284,0.173104517286387,0.00157025041941238,0.00631679415044496
"YMR288W",48.6451502277156,-0.257455196688512,0.199385571145356,0.136845693048082,0.249600310436517
"YMR265C",94.299131428069,0.415309234843469,0.158891955639402,0.00467455176466769,0.0161251404189766
"YML116W",64.2054262756999,-1.03966484870841,0.18916058558231,4.71420466636907e-09,4.50898841428412e-08
"YML130C",108.198394282281,0.113644496814143,0.139283669802289,0.385085749877729,0.531216373570614
"YMR273C",126.319818538349,-0.0868355899783997,0.128740032633721,0.475722154031455,0.621015486687208
"YMR292W",38.2609204936938,0.706015876416021,0.266578144212654,0.0019167290398968,0.00752254273836112
"YMR137C",22.8235293498557,0.108153096569728,0.25565688796563,0.590641375553988,0.716718710242616
"YML076C",57.5871815158686,0.119574623490953,0.185774914428928,0.471383017826197,0.61726579476475
"YMR022W",125.610155792622,0.0827811122731552,0.130684382309782,0.503468014273652,0.644321287974538
"YML062C",72.1385939652953,-0.0429063492851801,0.162119046856217,0.771350472090329,0.853630894073783
"YML035C",124.037204891564,-1.04236977101286,0.13761109386493,4.65222470003259e-15,6.37902790322764e-14
"YMR173W",35.9624224200948,-1.63290552273795,0.25793394402862,1.97254235173604e-11,2.28639389964997e-10
"YMR093W",34.9344837099424,-0.769951130767391,0.254952526455147,0.000447012213340697,0.00205512925982097
"YML036W",25.3876085627553,0.117558439756116,0.247438605583594,0.553072601756665,0.688477862163985
